n_receipts,n_anomalies,percent
1,0,0.0
11,0,0.0
3,1,0.3333333333333333
25,21,0.84
20,0,0.0
9,0,0.0
13,7,0.5384615384615384
5,2,0.4
11,0,0.0
18,0,0.0
1,0,0.0
1,0,0.0
2,1,0.5
3,0,0.0
5,0,0.0
13,3,0.23076923076923078
10,0,0.0
3,0,0.0
10,1,0.1
91,9,0.0989010989010989
55,0,0.0
25,12,0.48
4,1,0.25
18,4,0.2222222222222222
5,0,0.0
10,0,0.0
9,0,0.0
20,15,0.75
9,2,0.2222222222222222
13,2,0.15384615384615385
1,0,0.0
5,0,0.0
7,3,0.42857142857142855
6,0,0.0
22,2,0.09090909090909091
3,0,0.0
2,0,0.0
3,1,0.3333333333333333
10,0,0.0
34,0,0.0
1,0,0.0
1,1,1.0
2,0,0.0
7,0,0.0
25,0,0.0
14,0,0.0
26,13,0.5
12,1,0.08333333333333333
19,0,0.0
13,5,0.38461538461538464
1,1,1.0
22,22,1.0
3,3,1.0
28,12,0.42857142857142855
13,8,0.6153846153846154
11,0,0.0
15,11,0.7333333333333333
1,0,0.0
6,0,0.0
5,0,0.0
37,3,0.08108108108108109
9,3,0.3333333333333333
37,0,0.0
2,0,0.0
18,0,0.0
1,1,1.0
11,0,0.0
12,0,0.0
1,0,0.0
4,1,0.25
30,15,0.5
1,0,0.0
241,8,0.03319502074688797
24,1,0.041666666666666664
13,0,0.0
20,9,0.45
12,3,0.25
3,3,1.0
12,6,0.5
17,0,0.0
6,3,0.5
4,0,0.0
6,2,0.3333333333333333
1,0,0.0
5,0,0.0
1,0,0.0
1,1,1.0
8,2,0.25
1,0,0.0
1,1,1.0
2,0,0.0
4,3,0.75
2,0,0.0
5,0,0.0
20,4,0.2
20,1,0.05
1,0,0.0
18,2,0.1111111111111111
12,0,0.0
4,0,0.0
9,0,0.0
9,0,0.0
5,0,0.0
6,1,0.16666666666666666
2,1,0.5
18,0,0.0
70,9,0.12857142857142856
2,0,0.0
16,2,0.125
16,2,0.125
4,0,0.0
5,1,0.2
11,6,0.5454545454545454
